,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,2300,2450,2495,2400,2600,2800,2680,2900,2600,2350,2595,2695,2700,2700,2800,2870,2850,2800,2650,2595,2450,2600,2550,2595,2650,2600,2650,2695,2700,2750,2750,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2850,2900,2900,2915.5,2914,2895,2850,2925,2995,2895,2900,2900,2912.5,2895,2800,2900,2944.5,2950,2950,2900,3000,3000,3000,3000,2990,2960.5,2995,2986.5,2950,2976,2990,2987.5,2900,2950,2950,2908,2950,2900,2875,2900,2995,2995,3000,3000,3000,3000,3000,3000,2950,2925,2918,2900,2895,2850,2850,2900,2900,2900,2900,2900,2850,2800,2800,2800,2800,2800,2875,2900,2895,2850,2925,2900,2900,2899,2900
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2375,2700,2600,2600,2600,2600,2800,2837.5,2900,2900,2995,2900,2982.5,2995,2995,2995,3000,3200,3200,3297.5,3260,3367.5,3300,3250,3200,3200,3300,3400,3400,3400,3292.5,3300,3295,3150,3495,3195,3500,3200,3300,3400,3500,3500,3550,3550,3500,3550,3500,3500,3500,3500,3495,3450,3450,3500,3500,3550,3500,3595,3595,3595,3600,3550,3500,3500,3500,3500,3500,3520,3500,3600,3607,3665,3600,3550
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1235,1250,1250,1299.5,1350,1395,1400,1400,1420,1400,1411,1400,1425,1425,1445,1467,1500,1500,1550,1510,1500,1500,1500,1500,1500,1500,1513.5,1550,1525,1495,1489.5,1450,1475,1450,1400,1437,1400,1450,1495,1495,1500,1500,1500,1500,1500,1500,1495,1480,1480,1475,1475,1500,1500,1550,1559.5,1575,1550,1545,1500,1500,1500,1500,1500,1500,1544,1550,1550,1550,1550,1550,1500,1500,1500
3,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,1600,1500,1500,1500,1550,1500,1500,1600,1650,1700,1800,1605,1600,1600,1600,1625,1625,1650,1650,1650,1650,1600,1600,1625,1635,1650,1600,1600,1650,1650,1650,1599,1599,1565,1599,1595,1585,1590,1575,1600,1600,1637,1635,1663,1700,1695,1700,1695,1685,1695,1700,1754,1764,1790,1800,1800,1800,1798,1795,1750,1750,1795,1750,1794,1795,1800,1800,1750,1725,1740,1700,1738,1750,1752,1775,1750,1750,1750,1750,1700,1725,1700,1699,1700,1700,1750,1764,1800,1800,1850,1800,1800,1750,1750,1720,1701,1740,1750,1770,1800,1850,1850,1850,1800,1795,1770,1750,1750,1725,1775,1795,1800,1800,1800,1812.5,1800,1800,1766,1750
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,1200,1195,1197,1137.5,1200,1095,1100,1125,1150,1175,1195,1200,1200,1153.5,1100,1100,1100,1150,1150,1150,1050,1050,1100,1125,1100,1095,1080,1095,1050,886,900,890,915,910,999,939,950,1000,1095,1075,1075,1075,1082,1100,1106,1100,1145,1157,1150,1125,1119,1100,1100,1100,1100,1125,1100,1133,1150,1145,1125,1100,1117,1125,1125,1145,1148.5,1115,1095,1082,1075,1095,1095,1065,1065,1095.5,1030,1165,1195,1200,1200,1227.5,1295,1275,1251,1250,1250,1245,1225,1250,1250,1250,1273,1295,1300,1300,1300,1289,1285,1295,1295,1295,1295,1300,1300,1325,1345,1349,1322.5,1299,1300,1299,1300
5,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,1350,1292.5,1250,1300,1425,1474.5,1500,1450,1485,1450,1500,1392.5,1375,1450,1500,1495,1450,1450,1495,1400,1350,1325,1325,1250,1350,1400,1422.5,1400,1400,1350,1295,1200,1200,1200,1150,1150,1200,1295,1350,1400,1350,1300,1296.5,1300,1295,1250,1250,1250,1200,1250,1300,1500,1500,1500,1450,1400,1375,1350,1300,1395,1400,1500,1550,1595,1550,1500,1500,1475,1422.5,1425,1400,1400,1400,1500,1575,1550,1500,1450,1400,1399,1300,1397.5,1300,1325,1375,1500,1525,1550,1520,1500,1495,1440,1450,1450,1400,1400,1400,1495,1525,1550,1500,1500,1485,1425,1400,1450,1400,1400,1450,1500,1595,1595,1595,1550,1500,1500,1500,1500,1500
6,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,1300,1200,1200,1200,1100,1150,1195,1100,1100,1099,1099,1025,1025,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1000,1050,1050,1000,1000,1000,1000,1000,999,1000,1000,1000,1000,1000,1000,995,1050,1050,1050,1050,1050,1050,1050,1095,1100,1100,1125,1150,1130,1130,1125,1150,1150,1195,1197.5,1200,1200,1200,1200,1200,1195,1200,1195,1200,1215,1225,1250,1250,1200,1200,1200,1200,1200,1200,1200,1195,1225,1250,1295,1300,1325,1325,1325,1300,1300,1299,1295,1300,1300,1300,1350,1350,1395,1395,1400,1400,1399,1395,1399,1400,1400,1400,1425,1450,1495,1495,1495,1500,1495,1460,1450,1450
7,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,,1295,1250,1250,1250,1200,1200,1200,1250,1212.5,1200,1150,1195,1150,1100,1150,1195,1165,1150,1150,1150,1145,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1100,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1175,1175,1195,1195,1195,1195,1195,1198,1200,1200,1200,1225,1200,1200,1237.5,1245,1225,1225,1245,1225,1250,1250,1250,1250,1250,1275,1200,1200,1200,1250,1275,1200,1250,1295,1300,1330,1325,1350,1350,1350,1350,1325,1340,1350,1350,1350,1390,1400,1400,1400,1445,1425,1450,1475,1450,1455,1465,1495,1499,1500,1500,1500,1500,1515,1500,1500,1500,1500
8,San Diego,CA,San Diego-Carlsbad,San Diego County,9,,,,,,,,3500,3000,2800,2500,2550,2100,2200,2200,2295,2300,2295,2250,2250,2200,2150,2100,2095,2000,2095,2007.5,1900,1899,2000,1995,2000,2000,1999,1995,1995,1990,1900,1903,1950,1995,2000,2000,1900,2200,2250,2195,2200,2200,2200,2195,2150,2250,2299,2295,2300,2350,2395,2350,2300,2350,2395,2300,2300,2295,2300,2350,2350,2350,2350,2395,2400,2400,2400,2400,2400,2325,2395,2388,2350,2395,2350,2300,2350,2400,2495,2500,2500,2600,2600,2600,2595,2550,2500,2500,2547.5,2500,2600,2595,2695,2695,2700,2750,2750,2700,2690,2600,2695,2650,2700,2650,2750,2800,2750,2700,2750,2750,2700,2700,2750
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1080,1000,1131.5,1134.5,1200,1195,1100,1124,1200,1190,1200,1250,1295,1235,1250,1250,1230,1300,1250,1250,1230,1250,1300,1300,1350,1349.5,1300,1300,1300,1300,1300,1325,1378,1400,1400,1400,1495,1495,1400,1400,1400,1400,1448,1475,1500,1495,1495,1471,1450,1450,1400,1450,1495,1450,1500,1550,1600,1600,1650,1700,1650,1650,1679,1600,1600,1600,1600,1600,1600,1650,1650,1650,1690,1650,1600,1600,1650,1650,1672.5,1650,1695,1750,1800,1795,1800,1795,1795,1750,1750,1700
